Designator,Mid X,Mid Y,Rotation,Layer
C3,25.677,40.968,90,TOP
C4,45.081,35.556,90,TOP
C5,23.853,30.914,270,TOP
C10,45.316,26.85,180,TOP
C12,43.487,44.981,270,TOP
C17,19.685,54.737,90,TOP
C20,25.146,67.945,0,TOP
C21,25.146,59.69,0,TOP
C22,24.765,52.578,180,TOP
C23,24.638,44.323,180,TOP
R3,49.456,71.397,270,TOP
R7,22.172,30.584,90,TOP
R8,20.775,30.584,90,TOP
R9,19.251,30.584,90,TOP
R10,17.63,30.592,90,TOP
R11,18.036,41.328,270,TOP
R12,19.566,41.349,270,TOP
R13,21.232,41.349,270,TOP
R14,22.756,41.296,270,TOP
C2,108.405,76.398,270,TOP
C1,123.675,56.822,270,TOP
R19,64.476,25.677,270,TOP
R20,64.488,22.867,270,TOP
R21,64.488,28.522,270,TOP
R22,45.9,59.205,0,TOP
R23,48.551,59.201,0,TOP
R24,43.192,59.201,0,TOP
R26,61.417,52.807,90,TOP
R28,48.567,43.457,90,TOP
R29,56.005,47.805,270,TOP
R30,54.122,43.462,90,TOP
R31,50.396,47.805,270,TOP
R36,55.855,52.603,90,TOP
R38,55.804,57.048,270,TOP
R39,61.29,57.099,90,TOP
C9,45.316,27.866,180,TOP
C11,44.376,44.981,270,TOP
C18,28.067,56.769,90,TOP
C19,19.812,57.277,90,TOP
C6,24.534,40.968,90,TOP
C7,44.065,35.556,90,TOP
C8,24.742,30.914,270,TOP
R1,103.257,25.563,270,TOP
R2,91.852,25.639,270,TOP
R4,103.257,22.642,90,TOP
R5,91.852,22.718,90,TOP
R6,80.389,23.696,270,TOP
R15,27.125,41.109,90,TOP
R16,28.395,41.125,90,TOP
R17,30.808,41.125,90,TOP
R18,32.12,41.125,90,TOP
R32,30.914,30.63,270,TOP
R33,29.644,30.63,270,TOP
R34,27.358,30.63,270,TOP
R35,26.088,30.63,270,TOP
R25,36.121,31.646,180,TOP
R27,59.87,66.913,0,TOP
U9,24.892,48.438,180,TOP
U10,24.907,63.805,0,TOP
Q1,58.674,57.074,0,TOP
Q2,58.699,52.795,0,TOP
Q3,51.285,43.36,180,TOP
Q4,53.19,47.805,180,TOP
U11,24.003,56.007,90,TOP
IC1,52.088,31.951,270,TOP
IC2,40.206,52.174,0,TOP
AUDIO,25.006,77.431,270,TOP
U2,124.976,27.665,90,TOP
U1,20.881,36.091,180,TOP
U3,29.6,36.108,0,TOP
U4,38.993,36.064,180,TOP
U5,65.79,46.262,270,TOP
U6,65.636,35.486,270,TOP
PWR,119.738,79.809,180,TOP
FILL_VALVE,98.549,32.674,0,TOP
VALVE1,87.5,32.801,0,TOP
VALVE2,76.578,32.801,0,TOP
VALVE3,98.549,46.009,0,TOP
VALVE4,87.5,46.136,0,TOP
VALVE5,76.578,46.136,0,TOP
VALVE6,98.549,59.09,0,TOP
VALVE7,87.5,59.09,0,TOP
VALVE8,76.578,59.09,0,TOP
PUMP,133.237,79.987,180,TOP
CLOCK_IN,61.191,72.57,180,TOP
LICK_IN,39.347,72.57,180,TOP
LICK_OUT,82.4,72.57,180,TOP
POWER,95.241,77.387,270,TOP
MOD1,93.571,10.569,0,TOP
MOD2,72.92,10.619,0,TOP
MOD3,52.296,10.569,0,TOP
MOD4,32.13,10.642,0,TOP
MOD5,11.768,10.599,0,TOP
MOD6,9.451,29.36,270,TOP
MOD7,9.451,49.934,270,TOP
MOD8,9.451,70,270,TOP
JP3,65.301,57.752,90,TOP
JP1,139.677,65.839,90,TOP
JP2,126.977,65.839,90,TOP
FILL_BTN,74.576,22.234,0,TOP
FLUSH,97.515,22.295,0,TOP
REV,86.06,22.283,0,TOP
